publication,AnnotationType,precision,recall,f1,jacc
32645325,FractionationMethod,1.0,1.0,1.0,1.0
32645325,FractionIdentifier,1.0,1.0,1.0,1.0
32645325,FractionationFraction,1.0,1.0,1.0,1.0
32645325,FragmentationMethod,0.0,0.0,0.0,0.0
32645325,FragmentMassTolerance,0.0,0.0,0.0,0.0
32645325,GeneticModification,1.0,1.0,1.0,1.0
32645325,Genotype,1.0,1.0,1.0,1.0
32645325,GradientTime,1.0,1.0,1.0,1.0
32645325,GrowthRate,1.0,1.0,1.0,1.0
32645325,Instrument,0.0,0.0,0.0,0.0
32645325,IonizationType,1.0,1.0,1.0,1.0
32645325,Label,1.0,1.0,1.0,1.0
32645325,MaterialType,0.0,0.0,0.0,0.0
32645325,Modification,0.25,0.16666666666666666,0.2,0.25
32645325,MS2MassAnalyzer,1.0,1.0,1.0,1.0
32645325,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32645325,NumberOfFractions,1.0,1.0,1.0,1.0
32645325,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32645325,NumberOfSamples,1.0,1.0,1.0,1.0
32645325,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32645325,Organism,0.0,0.0,0.0,0.0
32645325,OrganismPart,0.0,0.0,0.0,0.0
32645325,OriginSiteDisease,1.0,1.0,1.0,1.0
32645325,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32645325,PooledSample,1.0,1.0,1.0,1.0
32645325,ReductionReagent,1.0,1.0,1.0,1.0
32645325,SamplingTime,1.0,1.0,1.0,1.0
32645325,SampleTreatment,1.0,1.0,1.0,1.0
32645325,Separation,1.0,1.0,1.0,1.0
32645325,Sex,1.0,1.0,1.0,1.0
32645325,Specimen,1.0,1.0,1.0,1.0
32645325,SpikedCompound,1.0,1.0,1.0,1.0
32645325,Staining,1.0,1.0,1.0,1.0
32645325,Strain,1.0,1.0,1.0,1.0
32645325,SupplementaryFile,1.0,1.0,1.0,1.0
32645325,SyntheticPeptide,1.0,1.0,1.0,1.0
32645325,TumorCellularity,1.0,1.0,1.0,1.0
32645325,TumorGrade,1.0,1.0,1.0,1.0
32645325,TumorSize,1.0,1.0,1.0,1.0
32645325,TumorSite,1.0,1.0,1.0,1.0
32645325,TumorStage,1.0,1.0,1.0,1.0
32645325,Time,1.0,1.0,1.0,1.0
32645325,Temperature,1.0,1.0,1.0,1.0
32645325,Treatment,1.0,1.0,1.0,1.0
32645325,TechnologyType,1.0,1.0,1.0,1.0
32645325,OutOfScope,1.0,1.0,1.0,1.0
32877642,AcquisitionMethod,1.0,1.0,1.0,1.0
32877642,Age,1.0,1.0,1.0,1.0
32877642,AlkylationReagent,1.0,1.0,1.0,1.0
32877642,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32877642,AncestryCategory,1.0,1.0,1.0,1.0
32877642,Bait,1.0,1.0,1.0,1.0
32877642,BMI,1.0,1.0,1.0,1.0
32877642,CellLine,1.0,1.0,1.0,1.0
32877642,CellPart,1.0,1.0,1.0,1.0
32877642,CellType,1.0,1.0,1.0,1.0
32877642,CleavageAgent,0.5,0.25,0.3333333333333333,0.5
32877642,CollisionEnergy,0.0,0.0,0.0,0.0
32877642,Compound,1.0,1.0,1.0,1.0
32877642,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32877642,Chromatography,1.0,1.0,1.0,1.0
32877642,Depletion,1.0,1.0,1.0,1.0
32877642,DevelopmentalStage,1.0,1.0,1.0,1.0
32877642,Disease,0.0,0.0,0.0,0.0
32877642,DiseaseTreatment,1.0,1.0,1.0,1.0
32877642,EnrichmentMethod,1.0,1.0,1.0,1.0
32877642,Experiment,1.0,1.0,1.0,1.0
32877642,FactorValue,1.0,1.0,1.0,1.0
32877642,FlowRateChromatogram,1.0,1.0,1.0,1.0
32877642,FractionationMethod,0.0,0.0,0.0,0.0
32877642,FractionIdentifier,0.32432432432432434,0.5,0.39344262295081966,0.6486486486486487
32877642,FractionationFraction,1.0,1.0,1.0,1.0
32877642,FragmentationMethod,0.0,0.0,0.0,0.0
32877642,FragmentMassTolerance,1.0,1.0,1.0,1.0
32877642,GeneticModification,1.0,1.0,1.0,1.0
32877642,Genotype,1.0,1.0,1.0,1.0
32877642,GradientTime,1.0,1.0,1.0,1.0
32877642,GrowthRate,1.0,1.0,1.0,1.0
32877642,Instrument,0.0,0.0,0.0,0.0
32877642,IonizationType,1.0,1.0,1.0,1.0
32877642,Label,0.0,0.0,0.0,0.0
32877642,MaterialType,1.0,1.0,1.0,1.0
32877642,Modification,0.5,0.2,0.2857142857142857,0.4
32877642,MS2MassAnalyzer,0.0,0.0,0.0,0.0
32877642,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32877642,NumberOfFractions,1.0,1.0,1.0,1.0
32877642,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32877642,NumberOfSamples,1.0,1.0,1.0,1.0
32877642,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32877642,Organism,1.0,1.0,1.0,1.0
32877642,OrganismPart,0.0,0.0,0.0,0.0
32877642,OriginSiteDisease,1.0,1.0,1.0,1.0
32877642,PrecursorMassTolerance,1.0,1.0,1.0,1.0
32877642,PooledSample,1.0,1.0,1.0,1.0
32877642,ReductionReagent,1.0,1.0,1.0,1.0
32877642,SamplingTime,1.0,1.0,1.0,1.0
32877642,SampleTreatment,1.0,1.0,1.0,1.0
32877642,Separation,0.0,0.0,0.0,0.0
32877642,Sex,1.0,1.0,1.0,1.0
32877642,Specimen,1.0,1.0,1.0,1.0
32877642,SpikedCompound,1.0,1.0,1.0,1.0
32877642,Staining,1.0,1.0,1.0,1.0
32877642,Strain,1.0,1.0,1.0,1.0
32877642,SupplementaryFile,1.0,1.0,1.0,1.0
32877642,SyntheticPeptide,1.0,1.0,1.0,1.0
32877642,TumorCellularity,1.0,1.0,1.0,1.0
32877642,TumorGrade,1.0,1.0,1.0,1.0
32877642,TumorSize,1.0,1.0,1.0,1.0
32877642,TumorSite,1.0,1.0,1.0,1.0
32877642,TumorStage,1.0,1.0,1.0,1.0
32877642,Time,1.0,1.0,1.0,1.0
32877642,Temperature,1.0,1.0,1.0,1.0
32877642,Treatment,1.0,1.0,1.0,1.0
32877642,TechnologyType,1.0,1.0,1.0,1.0
32877642,OutOfScope,1.0,1.0,1.0,1.0
31816881,AcquisitionMethod,1.0,1.0,1.0,1.0
31816881,Age,0.0,0.0,0.0,0.0
31816881,AlkylationReagent,1.0,1.0,1.0,1.0
31816881,AnatomicSiteTumor,1.0,1.0,1.0,1.0
31816881,AncestryCategory,0.0,0.0,0.0,0.0
31816881,Bait,1.0,1.0,1.0,1.0
31816881,BMI,1.0,1.0,1.0,1.0
31816881,CellLine,0.0,0.0,0.0,0.0
31816881,CellPart,1.0,1.0,1.0,1.0
31816881,CellType,0.0,0.0,0.0,0.0
31816881,CleavageAgent,0.0,0.0,0.0,0.0
31816881,CollisionEnergy,0.0,0.0,0.0,0.0
31816881,Compound,1.0,1.0,1.0,1.0
31816881,ConcentrationOfCompound,1.0,1.0,1.0,1.0
31816881,Chromatography,1.0,1.0,1.0,1.0
31816881,Depletion,1.0,1.0,1.0,1.0
31816881,DevelopmentalStage,0.0,0.0,0.0,0.0
31816881,Disease,0.0,0.0,0.0,0.0
31816881,DiseaseTreatment,1.0,1.0,1.0,1.0
31816881,EnrichmentMethod,1.0,1.0,1.0,1.0
31816881,Experiment,1.0,1.0,1.0,1.0
31816881,FactorValue,1.0,1.0,1.0,1.0
31816881,FlowRateChromatogram,1.0,1.0,1.0,1.0
31816881,FractionationMethod,1.0,1.0,1.0,1.0
31816881,FractionIdentifier,1.0,1.0,1.0,1.0
31816881,FractionationFraction,1.0,1.0,1.0,1.0
31816881,FragmentationMethod,0.0,0.0,0.0,0.0
31816881,FragmentMassTolerance,0.0,0.0,0.0,0.0
31816881,GeneticModification,1.0,1.0,1.0,1.0
31816881,Genotype,1.0,1.0,1.0,1.0
31816881,GradientTime,1.0,1.0,1.0,1.0
31816881,GrowthRate,1.0,1.0,1.0,1.0
31816881,Instrument,1.0,1.0,1.0,1.0
31816881,IonizationType,1.0,1.0,1.0,1.0
31816881,Label,1.0,1.0,1.0,1.0
31816881,MaterialType,0.0,0.0,0.0,0.0
31816881,Modification,0.0,0.0,0.0,0.0
31816881,MS2MassAnalyzer,1.0,1.0,1.0,1.0
31816881,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
31816881,NumberOfFractions,1.0,1.0,1.0,1.0
31816881,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
31816881,NumberOfSamples,1.0,1.0,1.0,1.0
31816881,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
31816881,Organism,0.0,0.0,0.0,0.0
31816881,OrganismPart,0.0,0.0,0.0,0.0
31816881,OriginSiteDisease,1.0,1.0,1.0,1.0
31816881,PrecursorMassTolerance,0.0,0.0,0.0,0.0
31816881,PooledSample,1.0,1.0,1.0,1.0
31816881,ReductionReagent,1.0,1.0,1.0,1.0
31816881,SamplingTime,1.0,1.0,1.0,1.0
31816881,SampleTreatment,1.0,1.0,1.0,1.0
31816881,Separation,1.0,1.0,1.0,1.0
31816881,Sex,0.0,0.0,0.0,0.0
31816881,Specimen,1.0,1.0,1.0,1.0
31816881,SpikedCompound,1.0,1.0,1.0,1.0
31816881,Staining,1.0,1.0,1.0,1.0
31816881,Strain,1.0,1.0,1.0,1.0
31816881,SupplementaryFile,1.0,1.0,1.0,1.0
31816881,SyntheticPeptide,1.0,1.0,1.0,1.0
31816881,TumorCellularity,1.0,1.0,1.0,1.0
31816881,TumorGrade,1.0,1.0,1.0,1.0
31816881,TumorSize,1.0,1.0,1.0,1.0
31816881,TumorSite,1.0,1.0,1.0,1.0
31816881,TumorStage,1.0,1.0,1.0,1.0
31816881,Time,1.0,1.0,1.0,1.0
31816881,Temperature,1.0,1.0,1.0,1.0
31816881,Treatment,0.0,0.0,0.0,0.0
31816881,TechnologyType,1.0,1.0,1.0,1.0
31816881,OutOfScope,1.0,1.0,1.0,1.0
