SourceName	Organism	Strain	OrganismPart	CellType	characteristics[growth condition]	BiologicalReplicate	AssayName	technology type	comment[data file]	TechnicalReplicate	FractionIdentifier	Label	Label	Instrument	CleavageAgent	Modification	Modification	Modification	FragmentationMethod	CollisionEnergy
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 19	proteomic profiling by mass spectrometry	Lana-SILAC-2-5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 20	proteomic profiling by mass spectrometry	Lana-SILAC-2-6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 21	proteomic profiling by mass spectrometry	Lana-SILAC-2-7.raw	1	7	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 22	proteomic profiling by mass spectrometry	Lana-SILAC-2-8.raw	1	8	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 23	proteomic profiling by mass spectrometry	Lana-SILAC-2-9.raw	1	9	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 24	proteomic profiling by mass spectrometry	Lana-SILAC-2-10.raw	1	10	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 25	proteomic profiling by mass spectrometry	Lana-SILAC-2-11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 26	proteomic profiling by mass spectrometry	Lana-SILAC-2-12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 27	proteomic profiling by mass spectrometry	Lana-SILAC-2-13.raw	1	13	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 28	proteomic profiling by mass spectrometry	Lana-SILAC-2-2-1.raw	1	14	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 29	proteomic profiling by mass spectrometry	Lana-SILAC-3-1.raw	1	1	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 30	proteomic profiling by mass spectrometry	Lana-SILAC-3-2.raw	1	2	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 31	proteomic profiling by mass spectrometry	Lana-SILAC-3-3.raw	1	3	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 32	proteomic profiling by mass spectrometry	Lana-SILAC-3-4.raw	1	4	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 33	proteomic profiling by mass spectrometry	Lana-SILAC-3-5.raw	1	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 34	proteomic profiling by mass spectrometry	Lana-SILAC-3-6.raw	1	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 35	proteomic profiling by mass spectrometry	Lana-SILAC-3-7.raw	1	7	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 36	proteomic profiling by mass spectrometry	Lana-SILAC-3-8.raw	1	8	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 37	proteomic profiling by mass spectrometry	Lana-SILAC-3-9.raw	1	9	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 38	proteomic profiling by mass spectrometry	Lana-SILAC-3-10.raw	1	10	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 39	proteomic profiling by mass spectrometry	Lana-SILAC-3-11.raw	1	11	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 40	proteomic profiling by mass spectrometry	Lana-SILAC-3-12.raw	1	12	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 41	proteomic profiling by mass spectrometry	Lana-SILAC-3-13.raw	1	13	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 42	proteomic profiling by mass spectrometry	Lana-SILAC-3-2-1.raw	1	14	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 29	proteomic profiling by mass spectrometry	Lana-SILAC-3-1.raw	1	1	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 30	proteomic profiling by mass spectrometry	Lana-SILAC-3-2.raw	1	2	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 31	proteomic profiling by mass spectrometry	Lana-SILAC-3-3.raw	1	3	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 32	proteomic profiling by mass spectrometry	Lana-SILAC-3-4.raw	1	4	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 33	proteomic profiling by mass spectrometry	Lana-SILAC-3-5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 34	proteomic profiling by mass spectrometry	Lana-SILAC-3-6.raw	1	6	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 35	proteomic profiling by mass spectrometry	Lana-SILAC-3-7.raw	1	7	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 36	proteomic profiling by mass spectrometry	Lana-SILAC-3-8.raw	1	8	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 37	proteomic profiling by mass spectrometry	Lana-SILAC-3-9.raw	1	9	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 38	proteomic profiling by mass spectrometry	Lana-SILAC-3-10.raw	1	10	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 39	proteomic profiling by mass spectrometry	Lana-SILAC-3-11.raw	1	11	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 40	proteomic profiling by mass spectrometry	Lana-SILAC-3-12.raw	1	12	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 41	proteomic profiling by mass spectrometry	Lana-SILAC-3-13.raw	1	13	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	2.5 mM NaOCl 	1	Run 42	proteomic profiling by mass spectrometry	Lana-SILAC-3-2-1.raw	1	14	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 43	proteomic profiling by mass spectrometry	Lana-SILAC-4-1.raw	1	1	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 44	proteomic profiling by mass spectrometry	Lana-SILAC-4-2.raw	1	2	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 45	proteomic profiling by mass spectrometry	Lana-SILAC-4-3.raw	1	3	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 46	proteomic profiling by mass spectrometry	Lana-SILAC-4-4.raw	1	4	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 47	proteomic profiling by mass spectrometry	Lana-SILAC-4-5.raw	1	5	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 48	proteomic profiling by mass spectrometry	Lana-SILAC-4-6.raw	1	6	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 49	proteomic profiling by mass spectrometry	Lana-SILAC-4-7.raw	1	7	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	1	Run 50	proteomic profiling by mass spectrometry	Lana-SILAC-4-8.raw	1	8	SILAC heavy K:13C(6)15N(2)	SILAC medium R:13C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
